sim_time,agent_id,x,y,z
0.000,0,-2.7448,-0.5045,-5.4270
0.000,1,-3.0178,-0.0488,-4.1209
0.000,2,-2.3983,1.2162,-6.2650
0.000,3,-2.0549,1.3766,-3.9906
0.000,4,-0.9403,-0.6084,-5.6720
0.000,5,-1.2868,-0.6373,-4.1948
0.000,6,-0.8482,0.7865,-5.5580
0.000,7,-0.6081,0.9616,-4.3192
0.000,8,-2.9751,-0.0767,-7.1368
0.000,9,-2.5539,-0.2422,-2.3094
1.000,0,-2.2012,-0.5161,-5.4961
1.000,1,-2.4846,-0.0288,-4.0631
1.000,2,-1.8558,1.1841,-6.2213
1.000,3,-1.5216,1.3420,-4.0234
1.000,4,-0.3939,-0.6918,-5.6660
1.000,5,-0.7389,-0.6257,-4.2123
1.000,6,-0.3456,0.8312,-5.7448
1.000,7,-0.0967,0.9505,-4.1521
1.000,8,-2.4315,-0.0778,-7.0651
1.000,9,-2.0113,-0.2396,-2.4005
2.000,0,-1.1564,-0.5154,-5.5076
2.000,1,-1.4516,-0.0279,-4.0764
2.000,2,-0.8335,1.1165,-6.1390
2.000,3,-0.5466,1.2795,-4.0842
2.000,4,0.6887,-0.7210,-5.6696
2.000,5,0.3295,-0.6059,-4.2183
2.000,6,0.6239,0.8252,-5.7922
2.000,7,0.8827,0.9025,-4.1169
2.000,8,-1.3948,-0.0863,-6.9300
2.000,9,-0.9764,-0.2431,-2.5725
3.000,0,0.0458,-0.5388,-5.4568
3.000,1,-0.2893,-0.0430,-4.1097
3.000,2,0.2902,1.0428,-6.0473
3.000,3,0.5326,1.2137,-4.1530
3.000,4,1.9092,-0.6862,-5.6724
3.000,5,1.5504,-0.5581,-4.2218
3.000,6,1.7367,0.8045,-5.7553
3.000,7,2.0073,0.8575,-4.1599
3.000,8,-0.2319,-0.1026,-6.8462
3.000,9,0.2219,-0.2661,-2.7481
4.000,0,1.3210,-0.5930,-5.4641
4.000,1,0.9240,-0.0522,-4.1386
4.000,2,1.4285,1.0040,-5.9430
4.000,3,1.6773,1.1845,-4.2252
4.000,4,3.1405,-0.6641,-5.6721
4.000,5,2.7605,-0.5491,-4.2273
4.000,6,2.9133,0.8075,-5.6923
4.000,7,3.1904,0.8665,-4.2252
4.000,8,1.0107,-0.1040,-6.8591
4.000,9,1.4927,-0.2604,-2.7859
5.000,0,2.5718,-0.6136,-5.4860
5.000,1,2.0605,-0.0483,-4.1786
5.000,2,2.6051,0.9818,-5.8293
5.000,3,2.8611,1.2128,-4.3006
5.000,4,4.3689,-0.6611,-5.6724
5.000,5,3.9567,-0.5586,-4.2331
5.000,6,4.1014,0.8215,-5.6913
5.000,7,4.3962,0.8899,-4.2336
5.000,8,2.2272,-0.0673,-6.8359
5.000,9,2.7305,-0.2361,-2.8348
6.000,0,3.8043,-0.6139,-5.4623
6.000,1,3.2109,-0.0352,-4.2274
6.000,2,3.8032,0.9562,-5.7454
6.000,3,4.0628,1.2053,-4.3331
6.000,4,5.5945,-0.6522,-5.6699
6.000,5,5.1533,-0.5447,-4.2413
6.000,6,5.2970,0.8184,-5.7058
6.000,7,5.6099,0.8811,-4.2287
6.000,8,3.4239,-0.0449,-6.7963
6.000,9,3.9521,-0.2100,-2.9487
7.000,0,5.0315,-0.6224,-5.4564
7.000,1,4.3425,0.0034,-4.2828
7.000,2,5.0066,0.9358,-5.7329
7.000,3,5.2719,1.1797,-4.2581
7.000,4,6.8171,-0.6498,-5.6664
7.000,5,6.3405,-0.5400,-4.2498
7.000,6,6.5001,0.8144,-5.6999
7.000,7,6.8268,0.8751,-4.2449
7.000,8,4.6065,-0.0559,-6.7811
7.000,9,5.1743,-0.1915,-3.0519
8.000,0,6.2568,-0.6265,-5.4332
8.000,1,5.4732,0.0324,-4.3408
8.000,2,6.2071,0.9110,-5.6822
8.000,3,6.4862,1.1397,-4.2323
8.000,4,8.0386,-0.6523,-5.6629
8.000,5,7.5243,-0.5406,-4.2593
8.000,6,7.7052,0.8100,-5.7094
8.000,7,8.0458,0.8679,-4.2469
8.000,8,5.7882,-0.0680,-6.7421
8.000,9,6.3949,-0.1750,-3.1812
9.000,0,7.4823,-0.6266,-5.3950
9.000,1,6.6027,0.0638,-4.4043
9.000,2,7.4097,0.8817,-5.6476
9.000,3,7.7010,1.0873,-4.1925
9.000,4,9.2591,-0.6547,-5.6597
9.000,5,8.7047,-0.5392,-4.2725
9.000,6,8.9068,0.8026,-5.7118
9.000,7,9.2669,0.8505,-4.2572
9.000,8,6.9641,-0.0854,-6.6999
9.000,9,7.6138,-0.1603,-3.3270
10.000,0,8.7044,-0.6259,-5.3528
10.000,1,7.7460,0.1019,-4.4630
10.000,2,8.6108,0.8631,-5.6291
10.000,3,8.9194,1.0606,-4.1742
10.000,4,10.4805,-0.6585,-5.6873
10.000,5,9.9064,-0.5516,-4.3087
10.000,6,10.1044,0.7928,-5.7153
10.000,7,10.4888,0.8306,-4.2662
10.000,8,8.1336,-0.1169,-6.6539
10.000,9,8.7944,-0.1740,-3.3962
11.000,0,9.9287,-0.6265,-5.3028
11.000,1,8.9138,0.1334,-4.5035
11.000,2,9.8066,0.8626,-5.6266
11.000,3,10.1368,1.0761,-4.1835
11.000,4,11.7033,-0.6628,-5.7201
11.000,5,11.1111,-0.5665,-4.3468
11.000,6,11.3015,0.7821,-5.7161
11.000,7,11.7096,0.8073,-4.2732
11.000,8,9.2988,-0.1622,-6.5934
11.000,9,9.9458,-0.2345,-3.4495
12.000,0,11.1424,-0.6210,-5.2606
12.000,1,10.0830,0.1614,-4.5525
12.000,2,10.9993,0.8557,-5.6231
12.000,3,11.3554,1.0615,-4.1800
12.000,4,12.9236,-0.6660,-5.7280
12.000,5,12.3151,-0.5814,-4.3597
12.000,6,12.4933,0.7703,-5.7130
12.000,7,12.9298,0.7865,-4.2796
12.000,8,10.4542,-0.2076,-6.5271
12.000,9,11.1048,-0.2760,-3.5524
13.000,0,12.3310,-0.6263,-5.2341
13.000,1,11.2354,0.1929,-4.6283
13.000,2,12.1824,0.8432,-5.6205
13.000,3,12.5755,1.0356,-4.1875
13.000,4,14.1425,-0.6675,-5.7100
13.000,5,13.5307,-0.6047,-4.3399
13.000,6,13.6781,0.7577,-5.7095
13.000,7,14.1496,0.7676,-4.2867
13.000,8,11.5895,-0.2355,-6.4729
13.000,9,12.2500,-0.3186,-3.6395
14.000,0,13.5266,-0.6305,-5.1966
14.000,1,12.3780,0.2140,-4.6931
14.000,2,13.3601,0.8411,-5.6314
14.000,3,13.7947,1.0035,-4.2063
14.000,4,15.3642,-0.6660,-5.6852
14.000,5,14.7469,-0.6230,-4.3212
14.000,6,14.8556,0.7447,-5.7072
14.000,7,15.3694,0.7408,-4.3000
14.000,8,12.7086,-0.2631,-6.4011
14.000,9,13.3874,-0.3653,-3.7421
15.000,0,14.7375,-0.6329,-5.2318
15.000,1,13.5223,0.1985,-4.7328
15.000,2,14.5252,0.8437,-5.6605
15.000,3,15.0134,0.9509,-4.2454
15.000,4,16.5853,-0.6588,-5.6425
15.000,5,15.9207,-0.6330,-4.2994
15.000,6,16.0199,0.7300,-5.7060
15.000,7,16.5899,0.7090,-4.3210
15.000,8,13.7951,-0.2820,-6.3289
15.000,9,14.5316,-0.3925,-3.7709
16.000,0,15.9515,-0.6224,-5.2837
16.000,1,14.6758,0.1621,-4.7821
16.000,2,15.6636,0.8460,-5.6950
16.000,3,16.2310,0.8764,-4.3049
16.000,4,17.8048,-0.6367,-5.5694
16.000,5,17.0620,-0.6370,-4.2669
16.000,6,17.1552,0.7101,-5.7060
16.000,7,17.8099,0.6617,-4.3630
16.000,8,14.8472,-0.2876,-6.2341
16.000,9,15.6600,-0.4134,-3.7926
