sim_time,agent_id,x,y,z
0.000,0,-2.0769,-1.0110,-5.9439
0.000,1,-1.8325,-0.8020,-4.6120
0.000,2,-1.3616,0.4207,-6.0121
0.000,3,-1.2700,0.5101,-3.6069
0.000,4,-0.2654,-1.5986,-5.5917
0.000,5,-0.6187,-1.6143,-4.0673
0.000,6,0.0495,-0.2560,-5.9386
0.000,7,0.0439,0.2946,-3.8959
0.000,8,-1.2619,-1.2846,-7.4546
0.000,9,-1.8210,-0.8542,-2.5968
1.000,0,-1.5448,-1.0022,-6.0335
1.000,1,-1.2915,-0.7735,-4.5090
1.000,2,-0.8207,0.4031,-5.9755
1.000,3,-0.8964,0.5193,-3.6032
1.000,4,0.2719,-1.6170,-5.5488
1.000,5,-0.0680,-1.5723,-4.0997
1.000,6,0.6281,-0.1719,-5.9250
1.000,7,0.5158,0.2904,-3.9681
1.000,8,-0.7150,-1.2542,-7.3657
1.000,9,-1.2753,-0.8361,-2.6812
2.000,0,-0.4994,-0.9713,-6.0205
2.000,1,-0.2386,-0.7413,-4.4835
2.000,2,0.1618,0.3523,-5.9076
2.000,3,-0.0099,0.4906,-3.6574
2.000,4,1.3275,-1.5661,-5.5554
2.000,5,0.9891,-1.4904,-4.1009
2.000,6,1.6923,-0.0911,-5.8669
2.000,7,1.4827,0.3078,-4.0686
2.000,8,0.3466,-1.1973,-7.2024
2.000,9,-0.2216,-0.8086,-2.8414
3.000,0,0.6517,-0.9718,-5.9234
3.000,1,0.9529,-0.7164,-4.5242
3.000,2,1.2161,0.3911,-5.8286
3.000,3,1.0320,0.5209,-3.7153
3.000,4,2.5187,-1.4743,-5.5682
3.000,5,2.1900,-1.4131,-4.0910
3.000,6,2.8750,-0.0410,-5.7916
3.000,7,2.6255,0.3180,-4.1594
3.000,8,1.5605,-1.1335,-7.0979
3.000,9,1.0002,-0.7750,-3.0146
4.000,0,1.7942,-0.9800,-5.9542
4.000,1,2.1580,-0.6658,-4.5411
4.000,2,2.3771,0.4425,-5.7472
4.000,3,2.1778,0.6326,-3.7540
4.000,4,3.7090,-1.4031,-5.5548
4.000,5,3.4178,-1.3524,-4.0881
4.000,6,4.0844,0.0293,-5.7214
4.000,7,3.8207,0.3164,-4.2446
4.000,8,2.7982,-1.0649,-7.0552
4.000,9,2.2440,-0.7370,-3.0653
5.000,0,2.9357,-0.9485,-5.9752
5.000,1,3.3801,-0.6003,-4.5840
5.000,2,3.5787,0.4497,-5.6699
5.000,3,3.3707,0.6869,-3.8178
5.000,4,4.9090,-1.3489,-5.5609
5.000,5,4.6444,-1.2652,-4.0860
5.000,6,5.3012,0.0996,-5.7049
5.000,7,5.0274,0.3133,-4.2740
5.000,8,4.0284,-0.9900,-6.9911
5.000,9,3.4762,-0.6822,-3.0745
6.000,0,4.0715,-0.9014,-5.9720
6.000,1,4.5959,-0.5775,-4.6137
6.000,2,4.7930,0.4620,-5.6304
6.000,3,4.5778,0.7263,-3.8805
