p_drop,delay_max,jitter,trials,success_rate,avg_duration,avg_msg_sent,avg_msg_delivered,avg_msg_dropped,avg_tx_Bps,avg_rx_Bps,observed_drop_rate
0.0,0.0,0.0,30,1.0,7.186666666666657,135.36666666666667,135.36666666666667,0.0,114.58272974011915,114.58272974011915,0.0
0.0,0.0,0.2,30,1.0,7.243333333333323,143.06666666666666,143.06666666666666,0.0,120.39937127569192,120.39937127569192,0.0
0.0,0.5,0.0,30,1.0,8.383333333333319,153.86666666666667,153.86666666666667,0.0,111.93150407584308,111.93150407584308,0.0
0.0,0.5,0.2,30,1.0,8.196666666666655,158.16666666666666,158.16666666666666,0.0,116.84952865488172,116.84952865488172,0.0
0.0,1.0,0.0,30,1.0,8.83333333333332,161.5,161.5,0.0,112.1451916381652,112.1451916381652,0.0
0.0,1.0,0.2,30,1.0,9.36666666666665,178.5,178.5,0.0,117.25104309293367,117.25104309293367,0.0
0.1,0.0,0.0,30,1.0,7.926666666666654,158.06666666666666,142.53333333333333,15.533333333333333,121.06162591810356,109.21768157405454,0.09827077182623366
0.1,0.0,0.2,30,1.0,7.799999999999987,156.0,139.3,16.7,120.6403740458982,107.69178930379758,0.10705128205128205
0.1,0.5,0.0,30,1.0,8.816666666666652,164.96666666666667,149.53333333333333,15.433333333333334,113.80757237193411,103.20845091701985,0.09355425338452213
0.1,0.5,0.2,30,1.0,9.269999999999985,159.66666666666666,144.63333333333333,15.033333333333333,105.37700595772479,95.50482396475968,0.09415448851774531
0.1,1.0,0.0,30,1.0,9.849999999999977,166.56666666666666,150.26666666666668,16.3,103.57644406303494,93.45358943234935,0.09785871522913749
0.1,1.0,0.2,30,1.0,9.896666666666645,182.06666666666666,164.06666666666666,18.0,111.72503895143169,100.71214499856265,0.09886488465763457
0.3,0.0,0.0,30,1.0,9.526666666666648,183.83333333333334,129.5,54.333333333333336,116.72487390342356,82.26635394128387,0.2955575702629193
0.3,0.0,0.2,30,1.0,9.643333333333317,174.5,121.7,52.8,110.84573798049989,77.55819039319006,0.3025787965616046
0.3,0.5,0.0,30,0.9666666666666667,10.349999999999978,182.4,129.1,53.3,109.01310342313124,77.29254043297696,0.29221491228070173
0.3,0.5,0.2,30,1.0,10.249999999999975,197.93333333333334,138.33333333333334,59.6,116.86199514070162,81.71519523693377,0.3011114853486022
0.3,1.0,0.0,30,1.0,11.406666666666641,207.8,144.73333333333332,63.06666666666667,111.25617118947186,77.62483517897513,0.3034969521976259
0.3,1.0,0.2,30,1.0,11.729999999999972,192.6,134.66666666666666,57.93333333333333,99.84114057788254,69.78129375002304,0.3007961232260298
0.5,0.0,0.0,30,1.0,12.639999999999977,233.86666666666667,115.73333333333333,118.13333333333334,111.9448371524081,55.52790393701221,0.5051311288483467
0.5,0.0,0.2,30,0.9333333333333333,11.386666666666644,204.5,103.53333333333333,100.96666666666667,110.68082180788566,56.04827929528225,0.4937245313773431
0.5,0.5,0.0,30,0.9666666666666667,12.94666666666664,246.7,120.16666666666667,126.53333333333333,116.70239739363198,56.92396835059593,0.5129036616673422
0.5,0.5,0.2,30,0.9,11.703333333333308,202.83333333333334,104.6,98.23333333333333,102.13080142086295,52.671908925287745,0.4843056696795398
0.5,1.0,0.0,30,1.0,13.33333333333331,249.76666666666668,121.96666666666667,127.8,114.54411713860539,55.92495036623383,0.5116775657280128
0.5,1.0,0.2,30,0.9666666666666667,12.843333333333307,242.46666666666667,120.43333333333334,122.03333333333333,114.10351614109662,56.82389669200117,0.5032994226010448
