rate_cap_bps,seed,success,t_tree_first,t_tree_stable_first,duration_s,termination_reason,rx_Bps,tx_Bps,queue_delay_mean_s,queue_delay_p95_s,queue_overflow_drops,queue_overflow_drop_rate,queue_max_occupancy,reachable_from_root,N
16000,9,1,2.517,16.5,16.5,early_stop_stable,208.4,234.2,0.000129,0.0,0,0.0,8,10,10
16000,10,1,2.583,13.817,13.817,early_stop_stable,198.5,221.0,0.000131,0.0,0,0.0,8,10,10
8000,1,1,3.117,11.717,11.717,early_stop_stable,172.1,191.5,0.004055,0.016667,0,0.0,9,10,10
8000,2,1,3.033,11.083,11.083,early_stop_stable,144.0,154.3,0.003216,0.016667,0,0.0,6,10,10
8000,3,1,2.967,17.1,17.1,early_stop_stable,183.9,205.3,0.00416,0.016667,0,0.0,9,10,10
8000,4,1,3.65,21.517,21.517,early_stop_stable,209.7,229.8,0.004753,0.016667,0,0.0,9,10,10
8000,5,1,2.267,11.9,11.9,early_stop_stable,191.6,218.8,0.004954,0.016667,0,0.0,7,10,10
8000,6,1,3.9,15.067,15.067,early_stop_stable,182.8,205.1,0.003172,0.016667,0,0.0,7,10,10
8000,7,1,2.833,27.433,27.433,early_stop_stable,216.1,238.4,0.003914,0.016667,0,0.0,7,10,10
8000,8,1,2.917,8.083,8.083,early_stop_stable,164.8,174.4,0.002766,0.016667,0,0.0,5,10,10
8000,9,1,2.3,17.867,17.867,early_stop_stable,210.2,231.7,0.004565,0.016667,0,0.0,8,10,10
8000,10,1,2.583,14.25,14.25,early_stop_stable,202.9,224.8,0.004182,0.016667,0,0.0,8,10,10
4000,1,1,3.183,9.833,9.833,early_stop_stable,159.3,183.1,0.018222,0.05,0,0.0,8,10,10
4000,2,1,2.917,10.883,10.883,early_stop_stable,142.8,154.4,0.015298,0.05,0,0.0,6,10,10
4000,3,1,2.983,17.067,17.067,early_stop_stable,188.8,209.2,0.018739,0.05,0,0.0,9,10,10
4000,4,1,4.133,27.267,27.267,early_stop_stable,220.0,246.9,0.02139,0.066667,0,0.0,9,10,10
4000,5,1,2.283,10.35,10.35,early_stop_stable,195.9,218.6,0.020071,0.05,0,0.0,7,10,10
4000,6,1,3.45,15.717,15.717,early_stop_stable,187.4,208.8,0.016636,0.05,0,0.0,7,10,10
4000,7,1,2.85,26.167,26.167,early_stop_stable,207.1,232.3,0.018394,0.05,0,0.0,7,10,10
4000,8,1,2.95,8.45,8.45,early_stop_stable,164.0,173.3,0.014549,0.033333,0,0.0,5,10,10
4000,9,1,2.467,22.4,22.4,early_stop_stable,220.4,245.9,0.020044,0.05,0,0.0,8,10,10
4000,10,1,2.6,14.267,14.267,early_stop_stable,200.6,224.6,0.01804,0.05,0,0.0,7,10,10
2000,1,1,2.767,10.533,10.533,early_stop_stable,162.9,182.8,0.048702,0.116667,0,0.0,8,10,10
2000,2,1,2.167,11.4,11.4,early_stop_stable,138.4,152.6,0.042126,0.116667,0,0.0,6,10,10
2000,3,1,2.9,18.2,18.2,early_stop_stable,196.8,216.3,0.052312,0.133333,0,0.0,9,10,10
2000,4,1,3.617,21.717,21.717,early_stop_stable,209.4,228.5,0.055623,0.133333,0,0.0,9,10,10
2000,5,1,2.467,11.467,11.467,early_stop_stable,191.5,219.2,0.054018,0.116667,0,0.0,7,10,10
2000,6,1,3.433,15.483,15.483,early_stop_stable,188.3,206.5,0.046873,0.1,0,0.0,7,10,10
2000,7,1,2.85,28.05,28.05,early_stop_stable,211.1,235.7,0.051482,0.116667,0,0.0,7,10,10
2000,8,1,2.983,8.217,8.217,early_stop_stable,166.5,171.6,0.043121,0.1,0,0.0,5,10,10
2000,9,1,2.883,20.933,20.933,early_stop_stable,216.4,241.9,0.054483,0.133333,0,0.0,8,10,10
2000,10,1,3.033,14.983,14.983,early_stop_stable,201.4,222.2,0.051141,0.116667,0,0.0,7,10,10
1000,1,1,2.733,10.467,10.467,early_stop_stable,162.2,179.4,0.109957,0.266667,0,0.0,8,10,10
1000,2,1,2.533,11.533,11.533,early_stop_stable,138.9,150.9,0.100575,0.233333,0,0.0,6,10,10
1000,3,1,2.75,18.95,18.95,early_stop_stable,188.7,212.5,0.119995,0.266667,0,0.0,9,10,10
1000,4,1,2.85,28.467,28.467,early_stop_stable,225.9,250.8,0.132171,0.283333,0,0.0,9,10,10
1000,5,1,3.533,11.0,11.0,early_stop_stable,182.7,206.7,0.123439,0.266667,0,0.0,7,10,10
1000,6,1,3.383,17.367,17.367,early_stop_stable,185.5,210.7,0.111885,0.233333,0,0.0,7,10,10
1000,7,1,3.0,25.7,25.7,early_stop_stable,208.0,232.8,0.119308,0.233333,0,0.0,7,10,10
1000,8,1,2.7,8.5,8.5,early_stop_stable,159.5,168.7,0.100349,0.216667,0,0.0,5,10,10
1000,9,1,3.267,21.583,21.583,early_stop_stable,208.8,236.6,0.126381,0.266667,0,0.0,8,10,10
1000,10,1,3.5,15.483,15.483,early_stop_stable,203.4,225.9,0.12004,0.266667,0,0.0,7,10,10
500,1,1,3.083,13.433,13.433,early_stop_stable,169.3,189.4,0.243278,0.566667,0,0.0,9,10,10
500,2,1,2.817,11.567,11.567,early_stop_stable,133.8,149.9,0.219146,0.466667,0,0.0,6,10,10
500,3,1,3.383,18.8,18.8,early_stop_stable,189.9,211.6,0.257818,0.566667,0,0.0,10,10,10
500,4,1,5.083,27.55,27.55,early_stop_stable,213.2,235.0,0.281063,0.566667,0,0.0,10,10,10
500,5,1,2.833,10.317,10.317,early_stop_stable,181.5,203.0,0.260793,0.55,0,0.0,7,10,10
500,6,1,3.717,17.367,17.367,early_stop_stable,177.6,201.8,0.23907,0.466667,0,0.0,7,10,10
500,7,1,3.267,24.5,24.5,early_stop_stable,201.8,225.8,0.2515,0.466667,0,0.0,7,10,10
500,8,1,3.0,9.217,9.217,early_stop_stable,162.1,171.9,0.216225,0.45,0,0.0,5,10,10
500,9,1,3.317,21.983,21.983,early_stop_stable,209.6,233.4,0.267739,0.566667,0,0.0,8,10,10
500,10,1,3.483,14.717,14.717,early_stop_stable,185.9,209.6,0.253534,0.55,0,0.0,7,10,10
250,1,1,4.15,13.083,13.083,early_stop_stable,152.3,168.3,0.688874,2.55,0,0.0,34,10,10
250,2,1,4.117,11.5,11.5,early_stop_stable,120.0,130.4,0.547467,1.366667,0,0.0,13,10,10
250,3,1,4.283,22.05,22.05,early_stop_stable,180.1,199.2,0.811384,2.466667,0,0.0,49,10,10
250,4,1,4.45,29.033,29.033,early_stop_stable,204.4,224.2,1.469647,4.983333,0,0.0,58,10,10
250,5,1,3.633,12.783,12.783,early_stop_stable,173.7,196.2,0.695654,1.733333,0,0.0,19,10,10
250,6,1,4.2,16.633,16.633,early_stop_stable,170.3,191.9,0.543076,1.216667,0,0.0,12,10,10
250,7,1,4.95,25.533,25.533,early_stop_stable,199.0,220.7,0.793646,1.916667,0,0.0,14,10,10
250,8,1,4.617,9.783,9.783,early_stop_stable,133.7,144.1,0.464326,0.95,0,0.0,7,10,10
250,9,1,4.933,18.183,18.183,early_stop_stable,170.3,193.0,0.705869,1.8,0,0.0,21,10,10
250,10,1,3.517,17.567,17.567,early_stop_stable,184.8,206.6,0.727603,2.366667,0,0.0,28,10,10
