sim_time,agent_id,x,y,z
0.000,0,0.0573,-1.9359,-5.0266
0.000,1,-0.2269,-3.3037,-5.3594
0.000,2,1.6709,-2.1415,-5.0521
1.000,0,2.4999,-1.9314,-4.8951
1.000,1,2.2076,-3.3028,-5.3434
1.000,2,4.1008,-2.1361,-5.0288
2.000,0,6.5388,-1.9128,-4.7641
2.000,1,6.2502,-3.2931,-5.2997
2.000,2,8.1320,-2.1195,-5.0031
