sim_time,agent_id,x,y,z
0.000,0,-1.5020,0.6050,-5.8709
0.000,1,-1.2018,1.1262,-4.3332
0.000,2,0.0682,0.7720,-5.8684
0.000,3,0.1717,1.0850,-4.0836
0.000,4,-1.0021,-0.8137,-5.8158
0.000,5,-1.2202,-0.6623,-4.3960
0.000,6,0.7931,-0.0204,-6.0076
0.000,7,0.0748,-0.3876,-4.1559
0.000,8,-1.1347,0.3637,-7.0049
0.000,9,-1.4620,0.8542,-2.6380
1.000,0,-1.0718,0.6087,-5.6313
1.000,1,-0.7785,1.0964,-4.3173
1.000,2,0.3376,1.0670,-5.7504
1.000,3,0.7028,1.1133,-4.0780
1.000,4,-0.4507,-0.7924,-5.8557
1.000,5,-0.8503,-0.6795,-4.3898
1.000,6,1.2913,-0.2030,-6.0342
1.000,7,0.6406,-0.3779,-4.1518
1.000,8,-0.6201,0.3122,-7.1754
1.000,9,-0.9250,0.8278,-2.7215
2.000,0,-0.1435,0.5284,-5.6229
2.000,1,0.1553,1.0765,-4.2465
2.000,2,1.2152,1.1908,-5.6486
2.000,3,1.7109,1.1276,-4.1162
2.000,4,0.6313,-0.7558,-5.8359
2.000,5,0.1290,-0.6736,-4.4139
2.000,6,2.3091,-0.2814,-5.9912
2.000,7,1.7069,-0.3723,-4.1972
2.000,8,0.3142,0.2442,-7.1462
2.000,9,0.0704,0.7657,-2.8420
3.000,0,0.8882,0.4687,-5.6554
3.000,1,1.2503,1.0793,-4.3250
3.000,2,2.3238,1.1886,-5.5764
3.000,3,2.8603,1.1251,-4.1805
3.000,4,1.8518,-0.7064,-5.8125
3.000,5,1.3310,-0.6332,-4.4237
3.000,6,3.4803,-0.2791,-5.9091
3.000,7,2.8951,-0.3705,-4.2656
3.000,8,1.3543,0.2519,-7.0217
3.000,9,1.1575,0.6999,-2.8578
4.000,0,1.9698,0.4355,-5.5949
4.000,1,2.4155,1.0968,-4.3538
4.000,2,3.4866,1.1435,-5.5718
4.000,3,4.0547,1.1148,-4.1957
4.000,4,3.0820,-0.6477,-5.8112
