0.000000000000000000e+00,9.933466539753062132e-05,0.000000000000000000e+00,-4.900332889206207880e-04,0.000000000000000000e+00,-1.999000000000000221e-01,0.000000000000000000e+00,1.190620725567004138e-04,0.000000000000000000e+00,-4.931731413064738279e-02,0.000000000000000000e+00,-9.853322679211072230e-03,0.000000000000000000e+00
1.000000000000000021e-02,1.984316198340473677e-04,0.000000000000000000e+00,-9.731491740922991462e-04,0.000000000000000000e+00,-1.999985332267921190e-01,0.000000000000000000e+00,2.300860473796129883e-04,0.000000000000000000e+00,-4.862668136725083884e-02,0.000000000000000000e+00,-2.969226392738059939e-02,0.000000000000000000e+00
2.000000000000000042e-02,2.972922203894681759e-04,0.000000000000000000e+00,-1.449266060682089614e-03,0.000000000000000000e+00,-2.002954558660659246e-01,0.000000000000000000e+00,3.334739448945987458e-04,0.000000000000000000e+00,-4.792818421771732895e-02,0.000000000000000000e+00,-4.951550421924990480e-02,0.000000000000000000e+00
2.999999999999999889e-02,3.959176738004694372e-04,0.000000000000000000e+00,-1.918302546115165010e-03,0.000000000000000000e+00,-2.007906109082584212e-01,0.000000000000000000e+00,4.296382045602836785e-04,0.000000000000000000e+00,-4.722190126795244858e-02,0.000000000000000000e+00,-6.931476034191060009e-02,0.000000000000000000e+00
4.000000000000000083e-02,4.943090435077082461e-04,0.000000000000000000e+00,-2.380177413586691618e-03,0.000000000000000000e+00,-2.014837585116775187e-01,0.000000000000000000e+00,5.190048247039917226e-04,0.000000000000000000e+00,-4.650790756165795042e-02,0.000000000000000000e+00,-8.908190628318360393e-02,0.000000000000000000e+00
5.000000000000000278e-02,5.924672572679342284e-04,0.000000000000000000e+00,-2.834809625653303237e-03,0.000000000000000000e+00,-2.023745775745093567e-01,0.000000000000000000e+00,6.020128971741180602e-04,0.000000000000000000e+00,-4.578627499499132725e-02,0.000000000000000000e+00,-1.088090056258797234e-01,0.000000000000000000e+00
5.999999999999999778e-02,6.903931148704137198e-04,0.000000000000000000e+00,-3.282118317897654916e-03,0.000000000000000000e+00,-2.034626676307681459e-01,0.000000000000000000e+00,6.791141259705190400e-04,0.000000000000000000e+00,-4.505707273310844557e-02,0.000000000000000000e+00,-1.284883420742763127e-01,0.000000000000000000e+00
7.000000000000000666e-02,7.880872959398824412e-04,0.000000000000000000e+00,-3.722022792656025196e-03,0.000000000000000000e+00,-2.047475510515109065e-01,0.000000000000000000e+00,7.507723321611428028e-04,0.000000000000000000e+00,-4.432036764704940651e-02,0.000000000000000000e+00,-1.481124478699862856e-01,0.000000000000000000e+00
8.000000000000000167e-02,8.855503678082811501e-04,0.000000000000000000e+00,-4.154442512798864513e-03,0.000000000000000000e+00,-2.062286755302107644e-01,0.000000000000000000e+00,8.174629474201722907e-04,0.000000000000000000e+00,-4.357622476935062161e-02,0.000000000000000000e+00,-1.676741298820516590e-01,0.000000000000000000e+00
8.999999999999999667e-02,9.827827934375961937e-04,0.000000000000000000e+00,-4.579297095554160472e-03,0.000000000000000000e+00,-2.079054168290312699e-01,0.000000000000000000e+00,8.796724985206008478e-04,0.000000000000000000e+00,-4.282470776670822127e-02,0.000000000000000000e+00,-1.871664931861715397e-01,0.000000000000000000e+00
1.000000000000000056e-01,1.079784939376220989e-03,0.000000000000000000e+00,-4.996506306363513068e-03,0.000000000000000000e+00,-2.097770817608929916e-01,0.000000000000000000e+00,9.378980850828569360e-04,0.000000000000000000e+00,-4.206587942797863217e-02,0.000000000000000000e+00,-2.065829619799107175e-01,0.000000000000000000e+00
1.100000000000000006e-01,1.176557083731375516e-03,0.000000000000000000e+00,-5.405990052760887080e-03,0.000000000000000000e+00,-2.118429113806921116e-01,0.000000000000000000e+00,9.926468528216754982e-04,0.000000000000000000e+00,-4.129980216578221092e-02,0.000000000000000000e+00,-2.259172977139438099e-01,0.000000000000000000e+00
1.199999999999999956e-01,1.273099424140264552e-03,0.000000000000000000e+00,-5.807668378264132028e-03,0.000000000000000000e+00,-2.141020843578315402e-01,0.000000000000000000e+00,1.044435464447416098e-03,0.000000000000000000e+00,-4.052653852997402384e-02,0.000000000000000000e+00,-2.451636143532786583e-01,0.000000000000000000e+00
1.300000000000000044e-01,1.369412085722820742e-03,0.000000000000000000e+00,-6.201461456269536168e-03,0.000000000000000000e+00,-2.165537205013643163e-01,0.000000000000000000e+00,1.093789570267248096e-03,0.000000000000000000e+00,-3.974615173126096884e-02,0.000000000000000000e+00,-2.643163907163847415e-01,0.000000000000000000e+00
1.400000000000000133e-01,1.465495128999060818e-03,0.000000000000000000e+00,-6.587289583939903020e-03,0.000000000000000000e+00,-2.191968844085281642e-01,0.000000000000000000e+00,1.141243280397919412e-03,0.000000000000000000e+00,-3.895870617327642366e-02,0.000000000000000000e+00,-2.833704798736628172e-01,0.000000000000000000e+00
