sim_time,agent_id,x,y,z
0.000,0,1.3709,0.4493,-6.0232
0.000,1,0.9699,0.3203,-4.2630
0.000,2,2.5782,-0.2717,-5.8103
0.000,3,2.8678,-0.0502,-4.2076
0.000,4,0.4668,-1.1065,-5.8882
0.000,5,0.4380,-0.8474,-4.5619
0.000,6,2.3168,-0.9857,-5.8415
0.000,7,2.3190,-1.3076,-4.5202
0.000,8,1.1437,0.5442,-7.2201
0.000,9,1.0356,0.7579,-3.0833
1.000,0,1.6544,0.5247,-5.7877
1.000,1,1.4757,0.4285,-4.4397
1.000,2,3.0097,0.0337,-5.7537
1.000,3,3.3954,0.0048,-4.3221
1.000,4,0.9536,-1.0991,-6.0384
1.000,5,0.8930,-1.0081,-4.4538
1.000,6,2.4054,-1.4350,-5.9182
1.000,7,2.7957,-1.4090,-4.3114
1.000,8,1.6367,0.5504,-7.4435
1.000,9,1.5351,0.8141,-2.8684
2.000,0,2.4852,0.5780,-5.8654
2.000,1,2.4751,0.4755,-4.3291
2.000,2,3.9904,0.2056,-5.7493
2.000,3,4.4280,0.0434,-4.3273
2.000,4,1.9057,-1.0106,-6.0637
2.000,5,1.9032,-1.0484,-4.4306
2.000,6,3.1863,-1.6923,-5.9097
2.000,7,3.8090,-1.3919,-4.2660
2.000,8,2.6420,0.5418,-7.4096
2.000,9,2.5398,0.8196,-2.8802
3.000,0,3.5903,0.5833,-5.8560
3.000,1,3.6241,0.4561,-4.3565
3.000,2,5.1384,0.2571,-5.7481
3.000,3,5.5999,0.0571,-4.3245
3.000,4,2.9979,-0.8894,-6.0108
3.000,5,3.0785,-1.0001,-4.4604
3.000,6,4.2938,-1.7177,-5.8363
3.000,7,4.9778,-1.3080,-4.3062
3.000,8,3.7998,0.5210,-7.2945
3.000,9,3.6937,0.8109,-2.9233
4.000,0,4.7510,0.5875,-5.8088
4.000,1,4.8172,0.4071,-4.3618
4.000,2,6.3292,0.2677,-5.7355
4.000,3,6.8087,0.0970,-4.3328
4.000,4,4.1857,-0.7971,-5.9440
4.000,5,4.2847,-0.9500,-4.4868
4.000,6,5.4841,-1.6270,-5.7501
4.000,7,6.1664,-1.2423,-4.3734
4.000,8,5.0001,0.4884,-7.3108
4.000,9,4.8928,0.8087,-2.8953
5.000,0,5.9381,0.6249,-5.8217
5.000,1,6.0286,0.4140,-4.3257
5.000,2,7.5254,0.2648,-5.7385
5.000,3,8.0267,0.1544,-4.3240
5.000,4,5.3813,-0.7458,-5.9462
5.000,5,5.4720,-0.9727,-4.4537
5.000,6,6.6861,-1.5040,-5.6843
5.000,7,7.3548,-1.1923,-4.4285
5.000,8,6.2143,0.4504,-7.2756
5.000,9,6.1048,0.8003,-2.8906
6.000,0,7.1277,0.6857,-5.7876
6.000,1,7.2446,0.4022,-4.3442
6.000,2,8.7230,0.2540,-5.7290
6.000,3,9.2457,0.2065,-4.3256
6.000,4,6.5650,-0.7165,-5.9248
6.000,5,6.6623,-0.9827,-4.4492
6.000,6,7.8681,-1.3932,-5.7137
6.000,7,8.5595,-1.1220,-4.3930
6.000,8,7.4307,0.4016,-7.2294
6.000,9,7.3177,0.7883,-2.8921
7.000,0,8.3055,0.7421,-5.7792
7.000,1,8.4622,0.3678,-4.3415
7.000,2,9.9183,0.2366,-5.7209
7.000,3,10.4649,0.2612,-4.3246
7.000,4,7.7316,-0.6500,-5.9045
7.000,5,7.8523,-0.9887,-4.4468
7.000,6,9.0750,-1.2866,-5.7063
7.000,7,9.7626,-1.0595,-4.3898
7.000,8,8.6463,0.3397,-7.1832
7.000,9,8.5302,0.7730,-2.8998
8.000,0,9.4776,0.8088,-5.7632
8.000,1,9.6816,0.3356,-4.3643
8.000,2,11.1096,0.2148,-5.7092
8.000,3,11.6851,0.3177,-4.3262
8.000,4,8.9049,-0.5846,-5.8824
8.000,5,9.0317,-1.0105,-4.4457
8.000,6,10.2774,-1.1714,-5.6999
8.000,7,10.9697,-1.0001,-4.3864
8.000,8,9.8628,0.2679,-7.1029
8.000,9,9.7392,0.7542,-2.9256
9.000,0,10.6386,0.8931,-5.7440
9.000,1,10.8999,0.2914,-4.4065
9.000,2,12.2975,0.1893,-5.6920
9.000,3,12.9049,0.3713,-4.3342
9.000,4,10.0803,-0.5177,-5.8539
9.000,5,10.2041,-1.0345,-4.4463
9.000,6,11.4698,-1.0514,-5.7001
9.000,7,12.1793,-0.9393,-4.3787
9.000,8,11.0784,0.1834,-6.9866
9.000,9,10.9424,0.7312,-2.9730
10.000,0,11.7872,0.9806,-5.7260
10.000,1,12.1156,0.2366,-4.4734
10.000,2,13.5018,0.2138,-5.6870
10.000,3,14.1237,0.4219,-4.3383
10.000,4,11.2459,-0.4382,-5.8170
10.000,5,11.3695,-1.0604,-4.4492
10.000,6,12.6339,-0.9875,-5.6817
10.000,7,13.3800,-0.8776,-4.3922
10.000,8,12.2888,0.0923,-6.8190
10.000,9,12.1410,0.7045,-3.0494
11.000,0,12.9263,1.0645,-5.7042
11.000,1,13.3304,0.1732,-4.5779
11.000,2,14.7114,0.2510,-5.6865
11.000,3,15.3435,0.4726,-4.3431
11.000,4,12.3900,-0.3612,-5.7534
11.000,5,12.5225,-1.0845,-4.4468
11.000,6,13.7710,-0.9646,-5.6420
11.000,7,14.5857,-0.8185,-4.3964
11.000,8,13.4978,0.0356,-6.6430
11.000,9,13.3307,0.6725,-3.1640
12.000,0,14.0621,1.1265,-5.6827
12.000,1,14.5450,0.1045,-4.7006
12.000,2,15.8937,0.2300,-5.6671
12.000,3,16.5635,0.5245,-4.3592
12.000,4,13.5176,-0.2938,-5.6729
12.000,5,13.6725,-1.0917,-4.4148
12.000,6,14.9104,-1.0018,-5.5549
12.000,7,15.7960,-0.7609,-4.3713
12.000,8,14.7017,0.0956,-6.5733
12.000,9,14.5087,0.6381,-3.2998
13.000,0,15.1747,1.1831,-5.6322
13.000,1,15.7625,0.1135,-4.7666
13.000,2,17.0831,0.1591,-5.6266
13.000,3,17.7830,0.5601,-4.3655
13.000,4,14.6247,-0.2462,-5.6625
13.000,5,14.8367,-1.0389,-4.3992
13.000,6,16.0981,-1.0952,-5.5872
13.000,7,16.9841,-0.7074,-4.4269
13.000,8,15.8495,0.1183,-6.4494
13.000,9,15.6694,0.6266,-3.3565
14.000,0,16.2438,1.2364,-5.5633
14.000,1,16.9811,0.1433,-4.8659
14.000,2,18.2930,0.1232,-5.6738
14.000,3,18.9933,0.5382,-4.3988
14.000,4,15.6871,-0.1961,-5.6161
14.000,5,16.0072,-0.9581,-4.3686
14.000,6,17.3017,-1.1421,-5.5838
14.000,7,18.1680,-0.7121,-4.4346
14.000,8,16.9527,0.1242,-6.3370
14.000,9,16.7964,0.5990,-3.4484
15.000,0,17.2772,1.2492,-5.4706
15.000,1,18.1704,0.1828,-4.8785
15.000,2,19.4276,0.0807,-5.7863
15.000,3,19.9950,0.5687,-4.4324
15.000,4,16.7224,-0.1525,-5.5618
15.000,5,17.1679,-0.8707,-4.3199
15.000,6,18.4105,-1.1310,-5.5845
15.000,7,19.2568,-0.7404,-4.4021
15.000,8,18.0135,0.1357,-6.3570
15.000,9,17.8389,0.5678,-3.4655
16.000,0,18.2133,1.2744,-5.4113
16.000,1,19.2159,0.3073,-4.8737
16.000,2,20.3470,0.0095,-5.8405
16.000,3,20.5656,0.6503,-4.4814
16.000,4,17.6940,-0.1694,-5.5043
16.000,5,18.2489,-0.8121,-4.2663
16.000,6,19.2392,-1.0813,-5.5558
16.000,7,20.0991,-0.7980,-4.3538
16.000,8,18.9228,0.1734,-6.3529
16.000,9,18.7120,0.5047,-3.4649
17.000,0,18.8164,1.3577,-5.4313
17.000,1,19.8307,0.4114,-4.9310
17.000,2,20.9839,-0.1025,-5.8203
17.000,3,21.1532,0.7012,-4.4384
17.000,4,18.4255,-0.2560,-5.4359
17.000,5,19.0755,-0.8475,-4.2129
17.000,6,19.7084,-1.0201,-5.5149
17.000,7,20.5861,-0.7449,-4.3235
17.000,8,19.5635,0.2312,-6.3808
17.000,9,19.3194,0.4011,-3.5108
18.000,0,19.0215,1.3598,-5.5090
18.000,1,20.1235,0.5225,-4.9208
18.000,2,21.2617,-0.1977,-5.7023
18.000,3,21.5846,0.6662,-4.4096
18.000,4,18.7566,-0.2297,-5.4124
18.000,5,19.4044,-0.9535,-4.1906
18.000,6,20.0449,-1.0288,-5.5707
18.000,7,20.8668,-0.6578,-4.3692
18.000,8,19.8925,0.2485,-6.3770
18.000,9,19.6570,0.3811,-3.5053
19.000,0,19.0541,1.2854,-5.5820
19.000,1,20.2292,0.6296,-4.8922
19.000,2,21.3555,-0.1552,-5.7245
19.000,3,21.6447,0.6221,-4.4557
19.000,4,18.8354,-0.1556,-5.3891
19.000,5,19.4366,-0.9624,-4.2039
19.000,6,20.1558,-1.0803,-5.5637
19.000,7,20.9568,-0.6885,-4.3596
19.000,8,20.0079,0.2250,-6.3145
19.000,9,19.7768,0.3388,-3.4896
20.000,0,19.0383,1.2741,-5.6546
20.000,1,20.1856,0.6974,-4.8902
20.000,2,21.3422,-0.1216,-5.7313
20.000,3,21.6101,0.6281,-4.4398
20.000,4,18.8156,-0.1824,-5.3600
20.000,5,19.3795,-0.9602,-4.2071
20.000,6,20.0829,-1.1016,-5.5597
20.000,7,20.8894,-0.6949,-4.3630
20.000,8,19.9772,0.2037,-6.2902
20.000,9,19.8060,0.2744,-3.4959
21.000,0,18.9797,1.2833,-5.7211
21.000,1,20.1088,0.7178,-4.9082
21.000,2,21.2742,-0.1336,-5.6936
21.000,3,21.5341,0.6460,-4.3963
21.000,4,18.7548,-0.1742,-5.3457
21.000,5,19.3029,-0.9962,-4.2095
21.000,6,20.0100,-1.1058,-5.5589
21.000,7,20.7908,-0.6564,-4.3557
21.000,8,19.9168,0.1962,-6.2983
21.000,9,19.8531,0.2196,-3.5150
22.000,0,18.9250,1.2810,-5.7753
22.000,1,20.0485,0.7656,-4.9196
22.000,2,21.2365,-0.1321,-5.6939
22.000,3,21.4413,0.6543,-4.3735
22.000,4,18.7234,-0.1345,-5.3301
22.000,5,19.2202,-1.0374,-4.1821
22.000,6,19.9689,-1.1118,-5.5487
22.000,7,20.7460,-0.6703,-4.3470
22.000,8,19.8836,0.1897,-6.2903
22.000,9,19.8912,0.1882,-3.5439
23.000,0,18.9139,1.2713,-5.8225
23.000,1,20.0151,0.8028,-4.9228
23.000,2,21.2273,-0.1035,-5.6941
23.000,3,21.3914,0.6454,-4.3415
23.000,4,18.7245,-0.1248,-5.2836
