rate_cap_bps,seed,success,t_tree_first,t_tree_stable_first,duration_s,termination_reason,rx_Bps,tx_Bps,queue_delay_mean_s,queue_delay_p95_s,queue_overflow_drops,queue_overflow_drop_rate,queue_max_occupancy,reachable_from_root,N
inf,1,1,3.05,20.05,20.05,early_stop_stable,514.1,575.8,0.0,0.0,0,0.0,0,20,20
inf,2,1,3.1,,30.0,T_prune_reached,563.8,626.6,0.0,0.0,0,0.0,0,20,20
inf,3,1,2.833,17.25,17.25,early_stop_stable,561.7,621.9,0.0,0.0,0,0.0,0,20,20
128000,1,1,2.95,12.333,12.333,early_stop_stable,432.5,476.3,0.0,0.0,0,0.0,11,20,20
128000,2,1,3.0,16.5,16.5,early_stop_stable,467.3,516.4,0.0,0.0,0,0.0,9,20,20
128000,3,1,2.583,17.25,17.25,early_stop_stable,554.1,616.7,0.0,0.0,0,0.0,12,20,20
64000,1,1,2.95,12.333,12.333,early_stop_stable,432.5,476.3,0.0,0.0,0,0.0,11,20,20
64000,2,1,3.0,16.5,16.5,early_stop_stable,467.3,516.4,0.0,0.0,0,0.0,9,20,20
64000,3,1,2.583,17.25,17.25,early_stop_stable,554.1,616.7,0.0,0.0,0,0.0,12,20,20
32000,1,1,2.95,12.333,12.333,early_stop_stable,432.5,476.3,0.0,0.0,0,0.0,11,20,20
32000,2,1,3.0,16.5,16.5,early_stop_stable,467.3,516.4,0.0,0.0,0,0.0,9,20,20
32000,3,1,2.583,17.25,17.25,early_stop_stable,554.1,616.7,0.0,0.0,0,0.0,12,20,20
16000,1,1,3.233,12.25,12.25,early_stop_stable,425.6,473.6,0.000517,0.0,0,0.0,10,20,20
16000,2,1,3.1,18.3,18.3,early_stop_stable,484.3,530.5,0.00068,0.0,0,0.0,12,20,20
16000,3,1,2.583,12.3,12.3,early_stop_stable,514.6,566.3,0.000675,0.0,0,0.0,11,20,20
8000,1,1,2.917,12.5,12.5,early_stop_stable,427.2,478.1,0.006024,0.033333,0,0.0,10,20,20
8000,2,1,2.983,17.1,17.1,early_stop_stable,473.3,518.2,0.006782,0.033333,0,0.0,9,20,20
8000,3,1,2.6,12.033,12.033,early_stop_stable,525.5,579.9,0.00781,0.033333,0,0.0,11,20,20
4000,1,1,3.033,,30.0,T_prune_reached,592.4,658.0,0.031099,0.083333,0,0.0,15,20,20
4000,2,1,3.15,16.95,16.95,early_stop_stable,460.2,509.4,0.024519,0.066667,0,0.0,9,20,20
4000,3,1,2.883,17.733,17.733,early_stop_stable,552.5,615.5,0.028871,0.083333,0,0.0,12,20,20
2000,1,1,3.367,20.167,20.167,early_stop_stable,504.6,565.0,0.070291,0.166667,0,0.0,13,20,20
2000,2,1,3.3,17.417,17.417,early_stop_stable,472.0,517.4,0.064314,0.15,0,0.0,9,20,20
2000,3,1,2.683,27.117,27.117,early_stop_stable,607.8,674.0,0.076237,0.183333,0,0.0,12,20,20
1000,1,1,4.217,28.617,28.617,early_stop_stable,563.6,630.7,0.167769,0.366667,0,0.0,15,20,20
1000,2,1,4.033,17.483,17.483,early_stop_stable,456.8,504.1,0.142546,0.316667,0,0.0,10,20,20
1000,3,1,3.033,17.417,17.417,early_stop_stable,539.1,598.4,0.159988,0.366667,0,0.0,12,20,20
500,1,1,5.5,23.05,23.05,early_stop_stable,513.8,573.2,0.366523,0.866667,0,0.0,29,20,20
500,2,1,4.0,18.667,18.667,early_stop_stable,455.8,505.0,0.304657,0.65,0,0.0,12,20,20
500,3,1,3.917,18.1,18.1,early_stop_stable,524.1,581.8,0.349145,0.75,0,0.0,19,20,20
250,1,1,5.217,22.317,22.317,early_stop_stable,410.8,459.5,1.462395,4.733333,0,0.0,119,20,20
250,2,1,4.933,19.8,19.8,early_stop_stable,375.8,417.6,1.28626,4.233333,0,0.0,75,20,20
250,3,1,4.783,21.2,21.2,early_stop_stable,429.6,480.0,1.811429,5.183333,0,0.0,108,20,20
