p_drop,delay_max,jitter,trials,success_rate,avg_duration,avg_msg_sent,avg_msg_delivered,avg_msg_dropped,avg_tx_Bps,avg_rx_Bps,observed_drop_rate
0.0,0.0,0.0,30,1.0,7.856666666666656,353.8666666666667,353.8666666666667,0.0,273.98858699505,273.98858699505,0.0
0.0,0.0,0.2,30,1.0,7.913333333333322,373.3666666666667,373.3666666666667,0.0,286.6998667359968,286.6998667359968,0.0
0.0,0.5,0.0,30,1.0,9.236666666666649,398.26666666666665,398.26666666666665,0.0,261.13827260161315,261.13827260161315,0.0
0.0,0.5,0.2,30,1.0,9.109999999999982,404.73333333333335,404.73333333333335,0.0,268.13609996049735,268.13609996049735,0.0
0.0,1.0,0.0,30,1.0,10.329999999999979,426.1333333333333,426.1333333333333,0.0,253.614954685359,253.614954685359,0.0
0.0,1.0,0.2,30,1.0,10.066666666666645,451.03333333333336,451.03333333333336,0.0,272.99101711285834,272.99101711285834,0.0
0.1,0.0,0.0,30,1.0,8.533333333333323,417.1666666666667,377.3666666666667,39.8,294.2916978995005,266.2028848130789,0.09540551338393927
0.1,0.0,0.2,30,1.0,8.39333333333332,417.0,374.73333333333335,42.266666666666666,300.9864229086663,270.5395363256769,0.10135891286970423
0.1,0.5,0.0,30,1.0,9.523333333333316,414.6333333333333,374.2,40.43333333333333,266.23636554322815,240.23386895828517,0.0975158774821127
0.1,0.5,0.2,30,1.0,9.846666666666646,434.7,392.7,42.0,265.08245574809825,239.4318149943798,0.0966183574879227
0.1,1.0,0.0,30,1.0,11.29333333333331,452.6666666666667,408.6333333333333,44.03333333333333,242.6122218628228,219.0479292743898,0.09727540500736376
0.1,1.0,0.2,30,1.0,11.186666666666643,484.76666666666665,434.3,50.46666666666667,263.0911980153401,235.64684152834627,0.10410506773017947
0.3,0.0,0.0,30,1.0,11.043333333333315,493.5,344.76666666666665,148.73333333333332,272.71224408725374,190.4586258930604,0.3013846673421141
0.3,0.0,0.2,30,1.0,10.779999999999978,535.1666666666666,374.06666666666666,161.1,299.6924308446871,209.44660192773412,0.30102771722204924
0.3,0.5,0.0,30,0.9666666666666667,12.156666666666643,530.9,370.8666666666667,160.03333333333333,264.6544663450678,184.9429821744082,0.3014378100081623
0.3,0.5,0.2,30,1.0,12.429999999999975,530.5666666666667,368.1666666666667,162.4,258.5125777538031,179.50720892077956,0.3060878306213482
0.3,1.0,0.0,30,1.0,12.653333333333304,525.9333333333333,365.53333333333336,160.4,253.32040652358938,176.0388152753049,0.3049816199771835
0.3,1.0,0.2,30,0.9666666666666667,13.289999999999973,527.5333333333333,368.56666666666666,158.96666666666667,238.5319605118387,166.51255157773235,0.30133956779982307
0.5,0.0,0.0,30,0.9666666666666667,14.666666666666636,654.6666666666666,322.73333333333335,331.93333333333334,269.61940615402597,132.76778703480565,0.5070264765784115
0.5,0.0,0.2,30,1.0,13.573333333333306,617.6666666666666,312.1666666666667,305.5,274.3381950377474,138.65533111317208,0.4946033459255262
0.5,0.5,0.0,30,0.9666666666666667,15.976666666666638,663.0,329.1666666666667,333.8333333333333,249.7160233173605,124.12269425851073,0.5035193564605329
0.5,0.5,0.2,30,0.9333333333333333,14.479999999999977,632.8,319.26666666666665,313.53333333333336,258.34195993505034,130.73799546796965,0.49546986936367476
0.5,1.0,0.0,30,1.0,15.896666666666647,607.6666666666666,299.73333333333335,307.93333333333334,233.6388354520205,115.28542220428736,0.5067471201316511
0.5,1.0,0.2,30,1.0,15.863333333333312,659.8333333333334,326.6666666666667,333.1666666666667,253.2201761495992,125.59312925231812,0.5049254862338974
